age,sex,race,salary
14,F,Pacific Islander,">=$10,000"
13,F,White,">=$10,000"
17,F,Pacific Islander,">=$10,000"
17,F,Pacific Islander,"<$10,000"
15,M,Asian,"<$10,000"
13,F,Asian,"<$10,000"
14,F,White,"<$10,000"
15,M,Asian,"<$10,000"
16,F,Pacific Islander,">=$10,000"
15,M,Asian,"<$10,000"
15,M,White,"<$10,000"
13,M,Asian,"<$10,000"
17,M,American Indian,">=$10,000"
17,M,Asian,"<$10,000"
16,M,White,">=$10,000"
17,F,White,">=$10,000"
14,M,American Indian,"<$10,000"
14,M,White,"<$10,000"
17,F,Black,">=$10,000"
14,M,Black,">=$10,000"
14,F,White,"<$10,000"
17,F,Pacific Islander,"<$10,000"
16,F,Asian,"<$10,000"
15,M,American Indian,">=$10,000"
17,F,Black,"<$10,000"
14,M,White,">=$10,000"
17,M,Black,">=$10,000"
16,M,White,"<$10,000"
16,F,White,"<$10,000"
13,F,Black,"<$10,000"
17,F,Black,"<$10,000"
15,M,Asian,"<$10,000"
17,M,Pacific Islander,"<$10,000"
17,F,American Indian,">=$10,000"
13,M,Black,">=$10,000"
15,M,American Indian,">=$10,000"
17,M,American Indian,">=$10,000"
13,F,American Indian,">=$10,000"
15,M,Asian,"<$10,000"
14,F,White,">=$10,000"
14,M,Asian,"<$10,000"
15,M,Asian,">=$10,000"
15,M,American Indian,">=$10,000"
16,M,Pacific Islander,"<$10,000"
15,F,Pacific Islander,">=$10,000"
14,F,Asian,"<$10,000"
14,M,Asian,"<$10,000"
14,F,Pacific Islander,"<$10,000"
13,F,Pacific Islander,">=$10,000"
15,F,Pacific Islander,">=$10,000"
16,M,White,"<$10,000"
17,F,Asian,">=$10,000"
15,F,Black,">=$10,000"
16,F,American Indian,">=$10,000"
15,F,Black,"<$10,000"
17,F,American Indian,">=$10,000"
15,M,American Indian,"<$10,000"
17,M,Black,">=$10,000"
13,F,Asian,">=$10,000"
17,F,Asian,"<$10,000"
17,M,Black,"<$10,000"
15,F,White,">=$10,000"
17,M,White,"<$10,000"
15,F,White,">=$10,000"
17,F,Asian,">=$10,000"
13,M,Pacific Islander,">=$10,000"
16,F,Black,">=$10,000"
16,M,Pacific Islander,"<$10,000"
13,M,White,"<$10,000"
17,M,Pacific Islander,"<$10,000"
14,F,Black,">=$10,000"
14,F,Pacific Islander,">=$10,000"
17,M,Black,">=$10,000"
17,F,Black,">=$10,000"
14,M,Pacific Islander,">=$10,000"
17,M,Black,">=$10,000"
13,F,Asian,"<$10,000"
13,F,Asian,"<$10,000"
15,M,Pacific Islander,"<$10,000"
17,M,American Indian,">=$10,000"
15,F,Black,"<$10,000"
14,F,American Indian,">=$10,000"
14,F,Black,">=$10,000"
16,F,Asian,"<$10,000"
15,F,Pacific Islander,"<$10,000"
15,M,Asian,">=$10,000"
17,M,White,">=$10,000"
14,F,White,"<$10,000"
14,F,White,"<$10,000"
16,M,Asian,"<$10,000"
14,M,Black,"<$10,000"
17,F,American Indian,"<$10,000"
14,M,Asian,"<$10,000"
14,F,Asian,">=$10,000"
17,F,Asian,">=$10,000"
14,M,Pacific Islander,"<$10,000"
17,M,Pacific Islander,">=$10,000"
15,F,Asian,"<$10,000"
14,F,Black,">=$10,000"
17,M,Pacific Islander,"<$10,000"
17,F,American Indian,"<$10,000"
17,F,Asian,">=$10,000"
17,F,Asian,"<$10,000"
17,M,American Indian,">=$10,000"
17,F,Black,">=$10,000"
14,F,Asian,">=$10,000"
14,F,Black,">=$10,000"
14,M,Black,"<$10,000"
13,F,American Indian,">=$10,000"
17,F,Asian,">=$10,000"
15,F,Black,">=$10,000"
16,M,White,">=$10,000"
15,F,Pacific Islander,">=$10,000"
17,F,White,"<$10,000"
16,M,Pacific Islander,">=$10,000"
13,M,Pacific Islander,"<$10,000"
15,M,Pacific Islander,">=$10,000"
15,F,Pacific Islander,">=$10,000"
16,F,Pacific Islander,"<$10,000"
16,M,Pacific Islander,">=$10,000"
14,F,Pacific Islander,">=$10,000"
17,F,Pacific Islander,">=$10,000"
15,M,Asian,"<$10,000"
15,M,White,"<$10,000"
15,M,American Indian,"<$10,000"
14,F,Pacific Islander,"<$10,000"
16,M,Pacific Islander,"<$10,000"
14,F,American Indian,">=$10,000"
14,F,Black,"<$10,000"
16,F,Asian,">=$10,000"
14,M,Pacific Islander,"<$10,000"
15,M,Asian,"<$10,000"
17,M,Pacific Islander,"<$10,000"
13,F,Pacific Islander,">=$10,000"
16,M,Asian,">=$10,000"
13,F,Black,"<$10,000"
14,M,Asian,">=$10,000"
15,M,American Indian,">=$10,000"
13,F,White,">=$10,000"
14,M,White,">=$10,000"
13,M,White,"<$10,000"
17,M,White,">=$10,000"
16,F,American Indian,">=$10,000"
15,M,American Indian,">=$10,000"
13,F,White,"<$10,000"
16,M,Pacific Islander,">=$10,000"
13,F,White,">=$10,000"
17,M,Asian,">=$10,000"
14,F,Pacific Islander,"<$10,000"
16,M,Asian,"<$10,000"
